passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount
Mrs. Audrey Johnson,09/12/2017 8:44:41 PM,09/12/2017 8:45:48 PM,Cash,1,0.21,3,0.86,0
Jennifer Collins,08/09/2017 6:56:14 PM,08/09/2017 7:02:19 PM,Credit Card,4,0.84,6,1.56,0
Stacy Soto,04/13/2017 12:39:09 AM,04/13/2017 12:44:40 AM,Debit Card,1,0.9,6,0,0
Raymond Landry,03/03/2017 4:29:53 AM,03/03/2017 4:34:54 AM,Cash,2,0.97,5.5,1.36,0
Maria Torres,07/13/2017 10:42:17 PM,07/13/2017 10:44:01 PM,Debit Card,1,0.3,3.5,1.2,0
William Foster,05/13/2017 10:21:37 PM,05/13/2017 10:30:28 PM,Debit Card,1,1.7,8.5,1.96,0
Timothy Conley,08/11/2017 7:17:14 AM,08/11/2017 7:20:06 AM,Debit Card,1,0.6,4,1.2,0
James Burch,11/23/2017 10:46:43 AM,11/23/2017 10:51:00 AM,Debit Card,1,0.9,5.5,1.25,0
Mark Hill,09/03/2017 10:37:52 AM,09/03/2017 10:47:35 AM,Cash,1,2,9.5,0,0
Emma Mann,03/12/2017 12:30:07 PM,03/12/2017 12:39:40 PM,Cash,2,1.5,8.5,0,0
Frank Gonzalez,02/11/2017 3:27:17 AM,02/11/2017 3:33:41 AM,Credit Card,1,1.34,7,1.66,0
Lisa Oliver,12/30/2017 5:31:40 PM,12/30/2017 5:47:51 PM,Cash,1,2.95,13,2.76,0
Samuel Hendricks,06/15/2017 8:23:04 PM,06/15/2017 8:23:07 PM,Cash,1,0,40,12.09,0
Chad Aguilar,05/27/2017 12:54:50 PM,05/27/2017 1:06:36 PM,Cash,4,1.8,10,0,0
Kimberly Rice,05/21/2017 11:49:35 PM,05/22/2017 12:07:47 AM,Cash,1,5.97,19.5,5.2,0
Sheila Bauer,11/16/2017 3:22:27 PM,11/16/2017 3:27:56 PM,Cash,1,0.7,5.5,1.25,0
Amanda Kennedy,09/26/2017 10:49:21 PM,09/26/2017 10:52:38 PM,Cash,4,0.8,5,1.26,0
Jasmine Moore,11/07/2017 6:43:56 PM,11/07/2017 7:00:40 PM,Cash,1,0.69,10.5,2.26,0
Janet Weeks,01/03/2017 9:40:13 AM,01/03/2017 10:25:45 AM,Debit Card,1,20.5,52,11.65,5.54
Mr. Patrick Combs,12/19/2017 8:35:28 PM,12/19/2017 8:40:57 PM,Cash,1,0.57,5,1.5,0
Debbie Holmes,07/05/2017 11:02:23 AM,07/05/2017 11:03:00 AM,Credit Card,1,0.04,-2.5,0,0
Amy Salas,03/31/2017 9:38:27 AM,03/31/2017 9:45:56 AM,Cash,6,1.07,7,1.56,0
Raven Frazier,02/15/2017 8:06:37 PM,02/15/2017 8:10:47 PM,Cash,1,0.5,4.5,0,0
Dominic Serrano,08/04/2017 7:21:20 PM,08/04/2017 7:32:20 PM,Cash,1,1.34,8.5,0,0
Anthony Kelly,06/20/2017 7:57:05 PM,06/20/2017 8:28:31 PM,Cash,1,12.5,36.5,7,5.76
Ricky Barnett,05/13/2017 9:03:59 PM,05/13/2017 9:13:15 PM,Credit Card,1,1.44,8,0,0
James Smith,01/31/2017 9:30:30 PM,01/31/2017 9:36:30 PM,Cash,2,1.3,6.5,0,0
John Burns,12/21/2017 7:23:34 AM,12/21/2017 7:28:59 AM,Cash,1,0.9,6,0,0
Christopher Murphy,05/02/2017 8:49:36 PM,05/02/2017 9:01:34 PM,Cash,1,2,10,0,0
Jonathan Hayes,06/23/2017 9:26:32 PM,06/23/2017 9:30:25 PM,Cash,1,0.9,5,0,0
James Wiggins,11/23/2017 1:06:13 AM,11/23/2017 1:13:15 AM,Cash,1,1.9,8,1,0
Brenda Lane,05/28/2017 9:01:42 PM,05/28/2017 9:14:10 PM,Debit Card,5,3.03,12,0,0
Debbie Weaver,08/11/2017 9:17:33 AM,08/11/2017 9:21:19 AM,Cash,1,0.9,5,1,0
Leonard Peterson,10/22/2017 9:55:20 AM,10/22/2017 10:02:43 AM,Cash,1,1.26,6.5,1.46,0
Melinda Melton,11/16/2017 8:43:31 PM,11/16/2017 8:52:02 PM,Credit Card,1,1.1,7.5,1.75,0
Alan Mitchell,06/05/2017 6:38:56 PM,06/05/2017 7:05:07 PM,Credit Card,1,3.7,18.5,4.05,0
Ronald Young,03/16/2017 8:15:29 PM,03/16/2017 8:35:54 PM,Credit Card,1,1.9,13.5,0,0
Jessica Smith,10/26/2017 7:43:12 AM,10/26/2017 7:57:19 AM,Debit Card,1,1.7,10.5,1.7,0
Olivia Steele,09/08/2017 10:34:41 AM,09/08/2017 10:37:36 AM,Cash,1,0.61,4.5,0,0
Jeffrey Church,12/22/2017 10:30:23 PM,12/22/2017 10:32:42 PM,Cash,1,0.4,3.5,1.2,0
Edward Thornton,07/05/2017 1:59:55 PM,07/05/2017 2:10:21 PM,Cash,1,1.37,9,0,0
Ms. Mercedes Robinson,06/07/2017 9:40:54 AM,06/07/2017 9:47:21 AM,Debit Card,1,0.7,6,1.35,0
Jeffrey Gomez,01/08/2017 2:03:57 AM,01/08/2017 2:12:40 AM,Cash,6,2.05,9,2.58,0
Melissa Blackburn,05/07/2017 1:08:16 AM,05/07/2017 1:14:43 AM,Cash,1,0.99,6,1.46,0
Mary Small,06/01/2017 2:54:08 PM,06/01/2017 3:08:11 PM,Cash,6,2.94,13,0,0
Angela Mills,06/24/2017 3:04:25 AM,06/24/2017 3:12:19 AM,Cash,5,2.13,8.5,1.96,0
Jessica Griffith,06/02/2017 1:05:38 AM,06/02/2017 1:14:14 AM,Cash,1,1.76,8.5,1,0
Jacqueline Townsend,03/20/2017 7:32:06 PM,03/20/2017 7:43:52 PM,Cash,1,1.49,9,0,0
Karen Campbell DVM,02/07/2017 10:29:23 PM,02/07/2017 10:44:42 PM,Credit Card,2,4.3,15.5,3.36,0
Amy Flores,05/30/2017 7:30:09 PM,05/30/2017 7:41:23 PM,Cash,1,1.7,9,2.15,0
Sheryl Ryan,03/06/2017 9:27:46 AM,03/06/2017 9:45:50 AM,Cash,1,1.5,12.5,2.66,0
Caitlin Sims,09/16/2017 6:14:01 PM,09/16/2017 6:34:54 PM,Credit Card,1,2.64,14.5,3.06,0
Virginia Blair,07/09/2017 7:24:32 PM,07/09/2017 7:27:40 PM,Cash,2,0.96,5,1.16,0
Edward Luna,02/01/2017 5:16:53 PM,02/01/2017 5:24:52 PM,Debit Card,1,1.3,7.5,0,0
Raymond Smith,07/11/2017 7:43:47 AM,07/11/2017 7:46:42 AM,Cash,1,0.8,4.5,1,0
Jason Christensen,07/22/2017 6:17:32 PM,07/22/2017 6:38:28 PM,Cash,2,1.8,14,1.48,0
Erin Smith,04/03/2017 5:35:55 AM,04/03/2017 5:43:14 AM,Cash,2,2.73,9.5,2.16,0
Janet Henry,05/01/2017 11:37:22 AM,05/01/2017 11:50:24 AM,Cash,4,0.41,9,2.45,0
John Foster,03/01/2017 8:03:14 AM,03/01/2017 8:15:52 AM,Debit Card,6,1.86,10,1,0
Pamela Gibson,04/11/2017 4:09:46 PM,04/11/2017 4:21:14 PM,Credit Card,1,1.4,9,0,0
Joshua Garcia,07/26/2017 9:44:31 PM,07/26/2017 10:00:18 PM,Cash,1,2.8,12.5,2.76,0
Noah Mason,11/16/2017 8:54:32 PM,11/16/2017 10:09:21 PM,Credit Card,2,18.8,64,0,0
Eric Alexander,10/18/2017 9:50:07 AM,10/18/2017 10:16:55 AM,Cash,1,3.75,18.5,3.86,0
Aaron Klein,11/27/2017 2:14:28 PM,11/27/2017 2:24:16 PM,Cash,1,1.33,8,0,0
Benjamin Tucker,02/16/2017 1:52:41 PM,02/16/2017 2:14:43 PM,Cash,1,2.6,14.5,0,0
Jason Thomas,11/19/2017 10:11:59 PM,11/19/2017 10:47:03 PM,Cash,1,9.85,33.5,0,0
Stephen Pitts,07/06/2017 2:41:10 PM,07/06/2017 2:53:28 PM,Cash,6,1.49,9.5,0,0
Jamie Adams,07/01/2017 3:54:43 AM,07/01/2017 4:00:13 AM,Cash,1,1.17,6,0,0
Claire Whitney,09/11/2017 1:56:34 PM,09/11/2017 2:06:05 PM,Debit Card,2,1.6,8.5,1.85,0
Richard Mcdaniel,04/05/2017 12:23:33 AM,04/05/2017 12:46:24 AM,Cash,1,7.3,24,0,5.76
Michael Ortiz,12/25/2017 10:46:13 PM,12/25/2017 10:57:23 PM,Cash,1,2.49,11,1.84,0
Curtis Chan,03/17/2017 10:29:31 PM,03/17/2017 10:46:00 PM,Debit Card,1,1.5,11.5,0,0
Marcus Jones,06/12/2017 6:50:05 PM,06/12/2017 7:34:03 PM,Debit Card,5,10.19,34,0,0
Jose Duncan,03/22/2017 4:00:01 PM,03/22/2017 4:07:18 PM,Credit Card,1,0.8,6.5,0,0
Aaron Nielsen,03/02/2017 3:46:51 PM,03/02/2017 4:10:34 PM,Cash,2,2.56,15.5,0,0
Anthony Sexton,05/05/2017 12:20:32 AM,05/05/2017 12:30:24 AM,Cash,1,3,11,0,0
Gloria Porter,12/26/2017 4:17:43 PM,12/26/2017 4:37:46 PM,Debit Card,1,1.4,13,3.7,0
Jeremy Mclean,03/23/2017 6:55:29 AM,03/23/2017 7:12:21 AM,Cash,1,7.37,23,5.95,0
Jesus Adams,09/28/2017 9:38:22 PM,09/28/2017 9:41:22 PM,Cash,1,0.5,4,0,0
Lee Baldwin,03/20/2017 4:55:16 PM,03/20/2017 5:06:28 PM,Cash,1,0.3,8,1.95,0
Dawn Lewis,01/01/2017 4:14:02 PM,01/01/2017 4:30:42 PM,Cash,1,3.76,14.5,3.06,0
Mary Green,02/15/2017 10:30:01 AM,02/15/2017 10:32:51 AM,Credit Card,1,0.35,4,1,0
Gregory Herman,03/03/2017 7:24:46 PM,03/03/2017 7:53:14 PM,Debit Card,1,3,18.5,0,0
Nathan Chapman,05/07/2017 3:51:50 PM,05/07/2017 4:05:53 PM,Credit Card,1,5.01,17,2,0
Ana Davis,10/19/2017 11:06:56 AM,10/19/2017 11:17:15 AM,Cash,2,1.11,8,1,0
Brittany Johnson,06/11/2017 5:00:27 PM,06/11/2017 5:05:07 PM,Debit Card,1,0.77,5.5,1.26,0
Matthew Nelson,08/16/2017 1:37:36 PM,08/16/2017 1:48:18 PM,Cash,1,0.7,8,2.2,0
Lori Young,10/31/2017 12:17:21 PM,10/31/2017 12:32:19 PM,Cash,1,2.7,10.5,0,0
Matthew Pierce,02/19/2017 10:22:27 AM,02/19/2017 10:35:51 AM,Debit Card,2,2.25,11,2.36,0
Jeffrey Jones,08/17/2017 5:00:44 PM,08/17/2017 5:08:24 PM,Debit Card,2,1,7,1.58,0
Michelle Miller,08/24/2017 8:36:21 PM,08/24/2017 9:00:20 PM,Credit Card,1,6.2,23,4.85,0
Justin Acosta,03/30/2017 2:45:59 PM,03/30/2017 2:49:16 PM,Cash,1,0.41,4,0,0
Brenda Flores,02/08/2017 9:22:35 AM,02/08/2017 9:36:53 AM,Debit Card,1,7.1,21,0,0
Anna Blair,06/19/2017 11:01:12 AM,06/19/2017 11:32:24 AM,Credit Card,1,6.45,25,0,0
Leslie Ali,07/16/2017 1:21:22 AM,07/16/2017 1:25:43 AM,Debit Card,1,0.8,5.5,0,0
Stephanie White,12/19/2017 6:27:08 AM,12/19/2017 6:41:01 AM,Credit Card,1,2.97,12.5,2,0
Susan Anderson,05/06/2017 9:37:25 AM,05/06/2017 9:46:25 AM,Cash,1,1.7,8.5,1.4,0
Jennifer Anderson,12/13/2017 9:35:49 AM,12/13/2017 9:50:04 AM,Credit Card,6,1.39,10,1.2,0
Allison Peck,08/17/2017 1:27:27 PM,08/17/2017 1:37:15 PM,Debit Card,1,2.4,10.5,2.25,0
Lisa Cantrell,05/23/2017 7:18:39 PM,05/23/2017 7:23:36 PM,Cash,1,0.4,5,1,0
Daniel Jones,05/16/2017 1:57:40 AM,05/16/2017 2:06:21 AM,Credit Card,1,2.1,9,0,0
Courtney Johnson,07/22/2017 8:32:50 PM,07/22/2017 8:39:39 PM,Cash,4,1.1,6.5,0,0
Mrs. Yvette Hayes,04/20/2017 11:56:31 PM,04/21/2017 12:09:40 AM,Credit Card,1,1.1,9.5,2.15,0
Connie Cooke,07/08/2017 1:12:01 PM,07/08/2017 1:21:24 PM,Cash,1,1.97,9,1.96,0
Dylan Ayers,07/08/2017 11:01:34 AM,07/08/2017 11:23:11 AM,Credit Card,3,9.6,28,10,5.76
Derek Hill,07/14/2017 3:23:58 PM,07/14/2017 3:41:51 PM,Credit Card,4,4.1,15.5,3.25,0
Kimberly Hensley,05/08/2017 11:13:01 AM,05/08/2017 11:19:49 AM,Cash,1,0.91,6,0,0
Julia Patel MD,10/05/2017 1:21:48 PM,10/05/2017 1:28:05 PM,Debit Card,1,0.99,6.5,1.46,0
James Wilson,06/06/2017 9:18:31 AM,06/06/2017 9:28:53 AM,Cash,1,2.1,9.5,2.06,0
Cynthia Horton,04/04/2017 6:37:23 PM,04/04/2017 6:52:03 PM,Debit Card,1,1.44,10.5,0,0
Mackenzie Davis,11/01/2017 10:17:08 AM,11/01/2017 10:21:20 AM,Cash,1,0.6,5,0,0
Tony Banks,10/21/2017 4:49:00 PM,10/21/2017 5:02:28 PM,Cash,1,2.27,11,1,0
Lauren Wilson,01/28/2017 1:56:40 PM,01/28/2017 2:10:27 PM,Cash,1,2.52,12,0,0
Nicholas Burgess,08/31/2017 9:43:50 PM,08/31/2017 9:52:26 PM,Cash,1,1.4,7.5,0,0
Jennifer Carter,05/12/2017 10:47:29 PM,05/12/2017 11:06:12 PM,Debit Card,2,1.3,12,3.3,0
Mrs. Amanda Ortiz PhD,06/09/2017 9:03:47 AM,06/09/2017 9:10:45 AM,Debit Card,1,1.07,6.5,0,0
Tyler Hoffman,03/21/2017 9:35:24 AM,03/21/2017 9:37:10 AM,Cash,1,0.3,3.5,1.05,0
Sarah Griffin,09/30/2017 7:00:46 PM,09/30/2017 7:12:55 PM,Credit Card,1,1.28,9.5,2.58,0
Gabriel Sullivan,12/11/2017 10:33:32 AM,12/11/2017 10:44:34 AM,Credit Card,1,1.9,9.5,0,0
Lynn Crane,01/05/2017 7:09:47 AM,01/05/2017 7:42:14 AM,Cash,1,8.5,30,6.15,0
Tracy Sloan,03/18/2017 1:19:48 AM,03/18/2017 1:22:46 AM,Debit Card,1,0.6,4,1.05,0
Kenneth Bartlett PhD,11/04/2017 12:45:01 AM,11/04/2017 12:55:46 AM,Cash,1,2.2,10,1,0
Jennifer Clay,05/07/2017 8:38:54 AM,05/07/2017 8:47:07 AM,Credit Card,1,2,9,0,0
Cody White,04/18/2017 8:48:50 PM,04/18/2017 9:11:31 PM,Debit Card,1,2.25,15,4.08,0
Brett Page,05/19/2017 3:37:12 PM,05/19/2017 4:03:30 PM,Debit Card,1,1.7,16,3.35,0
Joanna Casey,06/08/2017 8:08:53 PM,06/08/2017 8:32:02 PM,Credit Card,1,4.21,18,3.86,0
Jennifer Nichols,09/20/2017 12:41:07 AM,09/20/2017 12:46:54 AM,Credit Card,1,0.7,6,1.45,0
Katie Sullivan,12/09/2017 6:21:43 AM,12/09/2017 6:24:54 AM,Cash,1,0.7,4.5,0,0
Crystal Neal,12/14/2017 1:25:46 PM,12/14/2017 1:34:04 PM,Cash,1,0.6,6.5,0,0
Herbert Green,03/06/2017 1:44:47 PM,03/06/2017 1:50:20 PM,Cash,1,0.6,5.5,1,0
Robert Perez,01/27/2017 11:51:42 PM,01/27/2017 11:57:47 PM,Credit Card,2,1.17,6.5,1,0
Megan Anderson,03/22/2017 12:55:56 AM,03/22/2017 1:12:02 AM,Cash,1,5.3,18,0,0
Ronald Kidd,12/28/2017 11:58:24 PM,12/29/2017 11:38:45 PM,Cash,1,1.23,7,1.66,0
Christopher Anderson,06/15/2017 9:55:30 PM,06/15/2017 10:08:24 PM,Credit Card,1,2.81,12,2.66,0
Nicholas Green,04/15/2017 9:14:10 PM,04/15/2017 9:29:22 PM,Cash,1,1.83,11,0,0
Mary Escobar,01/30/2017 8:19:13 PM,01/30/2017 8:28:16 PM,Cash,1,1.65,8.5,0,0
Jennifer Lewis,11/18/2017 4:55:28 PM,11/18/2017 5:06:55 PM,Credit Card,1,1.89,9.5,0,0
William Velasquez,08/25/2017 8:49:21 AM,08/25/2017 8:59:51 AM,Credit Card,1,1.6,8.5,1.85,0
Christopher Miranda,01/14/2017 12:12:07 AM,01/14/2017 12:27:41 AM,Cash,1,8.1,24,5.05,0
Brian Russo,04/05/2017 11:09:25 AM,04/05/2017 11:19:10 AM,Cash,1,1.4,8,1.75,0
Stephanie Price,03/08/2017 7:19:00 AM,03/08/2017 7:23:21 AM,Cash,1,1.1,5.5,1.7,0
Jason Newman,02/21/2017 1:47:58 PM,02/21/2017 2:01:52 PM,Cash,5,1.25,9.5,0,0
Jonathan Morris,08/21/2017 3:25:56 PM,08/21/2017 3:39:33 PM,Debit Card,1,0.95,9.5,0,0
Russell Church,08/12/2017 9:29:32 AM,08/12/2017 9:35:04 AM,Cash,1,0.7,5.5,2,0
Dr. Shelby Morales,01/15/2017 2:21:29 PM,01/15/2017 2:35:14 PM,Debit Card,1,1.96,11,2.2,0
Darren Evans,10/19/2017 11:13:19 AM,10/19/2017 11:22:10 AM,Cash,1,1.27,7.5,0,0
Jamie Mendez,06/02/2017 8:17:04 AM,06/02/2017 8:28:56 AM,Cash,1,2.24,10.5,0,0
Randy Green,06/28/2017 5:51:12 PM,06/28/2017 5:54:56 PM,Cash,1,0.52,4.5,0,0
Joanna Navarro,04/10/2017 11:19:14 AM,04/10/2017 11:45:27 AM,Cash,2,3.4,17.5,3.65,0
Kelly Gonzalez,11/16/2017 8:58:31 PM,11/16/2017 9:06:29 PM,Credit Card,1,1.5,7.5,1.75,0
Autumn Gaines,02/22/2017 4:02:53 AM,02/22/2017 4:05:15 AM,Cash,1,0.3,4,0,0
Natalie Marshall,04/13/2017 7:02:34 AM,04/13/2017 7:21:13 AM,Debit Card,1,9.2,26.5,6.6,5.76
Mary Davis,05/13/2017 2:54:13 AM,05/13/2017 3:04:55 AM,Debit Card,1,1.58,8.5,1.96,0
Emily Moody,02/06/2017 9:42:12 AM,02/06/2017 9:49:33 AM,Cash,1,0.8,6.5,1.45,0
Mary Barton,02/15/2017 10:53:03 PM,02/15/2017 10:58:22 PM,Cash,1,0.87,5.5,1.36,0
Ashley Crane,07/08/2017 2:38:09 AM,07/08/2017 2:53:02 AM,Cash,1,4.4,15,3.25,0
Katie Spence,01/13/2017 4:11:59 PM,01/13/2017 4:19:52 PM,Cash,2,1.3,7,1.75,0
Jessica Franklin,04/01/2017 3:06:55 PM,04/01/2017 3:09:42 PM,Cash,1,0.3,3.5,0,0
Brooke Davila,10/07/2017 4:07:48 AM,10/07/2017 4:38:42 AM,Credit Card,1,18.56,52,17.5,5.54
Robin Lucas,03/13/2017 9:09:06 PM,03/13/2017 9:24:20 PM,Credit Card,1,6.6,20,3.5,0
Michael Martin,09/25/2017 7:16:43 PM,09/25/2017 7:27:41 PM,Credit Card,1,1.3,8.5,2.05,0
Christopher Perry,04/28/2017 8:37:45 PM,04/28/2017 8:46:15 PM,Debit Card,1,1.17,7.5,0,0
Richard Lewis,03/17/2017 12:33:03 PM,03/17/2017 12:36:45 PM,Cash,6,0.63,4.5,0,0
Joseph Castaneda,02/13/2017 11:28:33 PM,02/13/2017 11:32:15 PM,Credit Card,3,0.69,4.5,1.16,0
Todd Clarke,05/24/2017 3:45:50 PM,05/24/2017 3:53:59 PM,Cash,1,1.2,7.5,0,0
Andrea Reyes,12/05/2017 7:14:16 PM,12/05/2017 7:21:08 PM,Credit Card,1,0.3,5.5,1,0
Bruce Larson,12/27/2017 10:58:18 PM,12/27/2017 11:10:05 PM,Cash,1,2.1,10,2,0
James Davis,07/29/2017 1:07:56 PM,07/29/2017 1:14:40 PM,Cash,1,1.1,6.5,1,0
Sally Phelps,06/03/2017 2:36:31 AM,06/03/2017 2:43:23 AM,Debit Card,1,1.14,6.5,1,0
Alison Williams,12/10/2017 4:35:48 PM,12/10/2017 4:49:11 PM,Credit Card,1,3.5,13.5,2.85,0
Mark Simon,04/06/2017 7:14:28 AM,04/06/2017 7:20:36 AM,Cash,1,1,6,1.02,0
Ms. Tiffany Harris DDS,06/07/2017 5:36:00 PM,06/07/2017 6:15:56 PM,Debit Card,1,3.63,25,0,0
Hannah Walker,07/07/2017 12:58:10 PM,07/07/2017 1:01:33 PM,Debit Card,6,0.13,4,1.44,0
Paul Shepherd,04/03/2017 10:00:20 AM,04/03/2017 10:07:23 AM,Cash,1,0.92,6,0,0
Carolyn Mann,02/03/2017 8:26:32 PM,02/03/2017 8:30:15 PM,Cash,1,1.16,5.5,1,0
Bruce Richards,12/19/2017 9:29:16 AM,12/19/2017 9:39:43 AM,Cash,1,2.3,10,3.2,0
Dominique Barker,09/25/2017 10:50:04 AM,09/25/2017 10:52:47 AM,Cash,1,0.3,3.5,0,0
Jason Gonzales,03/13/2017 8:09:57 PM,03/13/2017 8:19:16 PM,Credit Card,1,1.23,7.5,2,0
Paul Harrison,12/28/2017 1:56:43 AM,12/28/2017 1:56:46 AM,Credit Card,2,0,10.9,2.34,0
Grant Wright,07/25/2017 8:22:17 AM,07/25/2017 8:31:44 AM,Credit Card,1,1.5,8.5,2,0
Nicole Weaver,07/25/2017 11:48:37 PM,07/25/2017 11:52:47 PM,Cash,1,0.7,5,1.25,0
Charles Pham,01/02/2017 3:48:54 PM,01/02/2017 4:12:03 PM,Credit Card,1,5.08,20.5,0,0
Leslie Green,04/08/2017 1:14:08 AM,04/08/2017 1:22:58 AM,Cash,2,1.38,7.5,1.76,0
Dawn Estrada,05/20/2017 10:00:53 PM,05/20/2017 10:47:52 PM,Credit Card,1,7.3,30.5,3.18,0
Charlene Willis,11/12/2017 11:00:13 AM,11/12/2017 11:13:29 AM,Credit Card,6,2.73,11.5,2.46,0
Jessica Campbell,06/03/2017 4:51:21 PM,06/03/2017 5:47:51 PM,Credit Card,1,10.56,41,0,5.76
Sandra Oliver,03/17/2017 8:27:28 AM,03/17/2017 9:12:10 AM,Cash,1,2.8,26,6.7,0
Mrs. Tonya Hall,01/19/2017 4:26:20 PM,01/19/2017 4:42:02 PM,Cash,1,2.1,11.5,0,0
Tina Reid,08/29/2017 7:40:32 PM,08/29/2017 7:44:07 PM,Debit Card,6,0.9,5,1.36,0
Christine Gonzalez,08/02/2017 7:31:18 PM,08/02/2017 7:44:56 PM,Cash,4,0.6,9,0,0
Steven Jackson,03/12/2017 4:12:15 PM,03/12/2017 4:25:14 PM,Cash,1,2.6,11.5,2.45,0
Andrew Lewis,05/24/2017 7:55:28 PM,05/24/2017 8:18:44 PM,Cash,1,2.65,15,3.36,0
Heidi Carroll,06/22/2017 12:20:06 PM,06/22/2017 12:26:38 PM,Cash,1,0.8,6,1,0
Tracie Hull,07/05/2017 9:34:33 AM,07/05/2017 9:48:14 AM,Debit Card,2,1.2,9.5,2.05,0
Michelle Thomas,10/21/2017 2:51:54 PM,10/21/2017 3:05:21 PM,Cash,1,2.5,11.5,0,0
Wendy Parks,04/07/2017 11:17:14 PM,04/07/2017 11:28:32 PM,Debit Card,1,2.83,11,3.69,0
Teresa Sanchez,11/17/2017 5:10:30 PM,11/17/2017 5:27:07 PM,Credit Card,1,1.81,11.5,3.99,0
Leslie Hutchinson,01/23/2017 8:36:07 PM,01/23/2017 8:51:51 PM,Credit Card,1,2.34,11.5,0,0
Mark Harrison,03/22/2017 10:13:02 AM,03/22/2017 10:31:18 AM,Credit Card,2,4.4,16.5,3.45,0
Jennifer Wang,12/20/2017 7:30:11 PM,12/20/2017 7:40:46 PM,Debit Card,1,1.5,8.5,2,0
Debra Price,12/26/2017 7:49:38 PM,12/26/2017 8:09:41 PM,Cash,1,1.6,13,2.95,0
Kenneth Taylor,03/17/2017 7:04:33 PM,03/17/2017 7:12:14 PM,Credit Card,5,1.63,8,1.96,0
Laura Moore,06/23/2017 10:14:59 PM,06/23/2017 10:31:23 PM,Cash,1,2.91,13,2.86,0
Manuel Johnson,09/05/2017 8:05:16 PM,09/05/2017 8:14:07 PM,Credit Card,1,1.8,8,1.86,0
Michael Frank,02/25/2017 1:20:39 PM,02/25/2017 1:41:09 PM,Debit Card,5,3.74,16,3.36,0
Laura Mills,03/28/2017 7:19:47 PM,03/28/2017 8:01:18 PM,Cash,1,9.76,32.5,0,2.64
Hunter Benson,01/30/2017 6:56:51 PM,01/30/2017 7:19:35 PM,Cash,2,5.53,21,4.56,0
Peter Gonzalez,12/07/2017 11:15:09 PM,12/07/2017 11:19:13 PM,Debit Card,1,0.98,5.5,1.36,0
William Anderson,08/08/2017 2:21:15 PM,08/08/2017 2:24:43 PM,Debit Card,1,0.6,4.5,1.3,0
Jonathan Hughes,08/05/2017 11:48:37 AM,08/05/2017 12:10:25 PM,Cash,2,5.2,19.5,4.05,0
April Garcia,12/30/2017 3:47:50 PM,12/30/2017 3:54:06 PM,Debit Card,1,0.8,5.5,0,0
Erin Miller,04/13/2017 2:58:29 PM,04/13/2017 3:06:47 PM,Debit Card,1,0.86,7,1.56,0
Erica Wilson,01/14/2017 7:58:49 PM,01/14/2017 8:27:18 PM,Debit Card,1,3.8,19.5,4.15,0
Heather Hodge,09/25/2017 1:03:01 PM,09/25/2017 1:17:05 PM,Cash,1,1.4,10,1.8,0
Mrs. Brittany Hughes,06/24/2017 4:33:53 PM,06/24/2017 5:08:54 PM,Cash,1,5.4,25,6.45,0
Perry Lee,09/10/2017 3:13:45 AM,09/10/2017 3:22:59 AM,Cash,4,2,9,2.05,0
Sherry Castillo,01/30/2017 10:28:02 PM,01/30/2017 10:55:30 PM,Credit Card,2,16.73,46,0,0
Shelby Turner,03/17/2017 9:04:54 AM,03/17/2017 9:29:22 AM,Cash,1,0.83,14.5,3.06,0
Timothy Stokes,11/18/2017 11:35:23 AM,11/18/2017 11:48:39 AM,Cash,5,2.44,11,1.8,0
Dean Peterson,04/24/2017 9:17:25 PM,04/24/2017 9:41:52 PM,Credit Card,2,9.31,28.5,6.4,5.76
Janice Johnson,07/06/2017 3:27:06 PM,07/06/2017 4:08:15 PM,Credit Card,1,11.4,37.5,8,5.76
Steven Hammond,02/17/2017 10:28:25 PM,02/17/2017 10:43:05 PM,Cash,1,3.4,13.5,2.95,0
Sherri Jimenez,07/14/2017 4:14:35 PM,07/14/2017 4:32:02 PM,Cash,2,4.93,16.5,5.49,0
Jeremy Peterson,12/06/2017 9:38:10 AM,12/06/2017 9:56:07 AM,Cash,1,2.6,13.5,3.58,0
Janet Whitehead,05/02/2017 11:35:19 PM,05/02/2017 11:40:23 PM,Cash,1,0.82,5.5,0,0
Marc Avery,07/19/2017 9:58:01 PM,07/19/2017 10:09:17 PM,Debit Card,1,2.6,10.5,2.35,0
Rachel Wallace,08/01/2017 3:34:01 PM,08/01/2017 3:39:24 PM,Cash,1,1.27,6.5,0,0
Nicole Lee,10/23/2017 9:20:39 AM,10/23/2017 9:26:50 AM,Credit Card,2,0.46,5.5,1.58,0
Marcus Oconnell,11/08/2017 7:47:22 AM,11/08/2017 7:58:46 AM,Cash,1,1.39,9,1,0
Jacob Wilson,11/22/2017 10:13:10 PM,11/22/2017 10:35:10 PM,Cash,1,4,17,3,0
Melissa Norris,03/11/2017 7:26:29 PM,03/11/2017 7:32:39 PM,Cash,1,1.2,6.5,0,0
Heather Richards,01/09/2017 9:38:51 AM,01/09/2017 10:08:33 AM,Debit Card,1,3.6,21,4.35,0
Taylor Banks,08/30/2017 4:16:08 PM,08/30/2017 4:42:33 PM,Credit Card,1,2.8,17,0,0
Brittany Lee,03/10/2017 3:49:12 PM,03/10/2017 4:58:24 PM,Debit Card,5,13.03,50,0,0
